scan_number,cc
0,0.47822125292664786
1,0.4406107876665474
2,0.6993581292138191
3,0.5828442686686908
4,0.5132833089627975
5,0.586798938838706
6,0.31723038288550326
7,-0.022404441064545803
8,0.44588689090697264
9,0.6264695976773467
10,0.013137079586261988
11,0.4170500287603901
12,0.20382680910063983
13,0.645515423462644
14,0.3825594476735896
15,0.5293802307455934
16,0.2495941743892743
17,0.3693006782466716
18,0.5989967267793873
19,0.8117052333897433
20,0.7207048880130049
21,0.5499564563441401
22,0.39179534305972374
23,0.7070186076290689
24,0.6012724226401408
25,0.4719914334750677
26,0.6458333139427961
27,0.7159369918651233
28,0.6761954757349294
29,0.6238519767489005
30,0.09117032894447719
31,-0.039637746313919565
32,0.42533162300909966
33,0.5822072308873352
34,0.5326522193091309
35,0.3127304443202863
36,-0.014670466320745913
37,0.34776700241022784
38,0.6203214463767415
39,0.5854587760779697
40,0.16141882585221093
41,0.376104357870441
42,0.19574805069352846
43,0.26797276016276106
44,0.2150239763403066
45,0.23377719814239728
46,0.29648020234324096
47,0.42069007929131313
48,0.2958971490243997
49,0.30651214951812356
50,0.6332619818879514
51,0.6804336888565057
52,0.7079487693803205
53,0.6945046385198754
54,0.48534639054253553
55,0.6563879099300252
56,0.6411799431277544
57,0.18622720843730978
58,0.3384126045399981
59,0.7869521125243504
60,0.4800756666517001
61,0.34602705081278234
62,0.3714509499323353
63,0.30121286377861795
64,0.6738834720835406
65,0.46432629063464864
66,0.6867067863351554
67,0.6420828762651556
68,0.3482094907793042
69,0.5500697309030269
70,0.5675834881989229
71,0.3767428744141873
72,0.6183170142987111
73,0.47107668779487166
74,0.59281340690065
75,0.6994619702312366
76,0.6002878402440288
77,0.5462658856358754
78,-0.0356056808154658
79,0.5156129744837584
80,0.4497933079304104
81,0.2630373263528432
82,0.8224933761586957
83,0.7159232838962505
84,0.5556485446843256
85,0.5708110215561221
86,0.40620188042814587
87,0.4805344377835758
88,0.5785145770754652
89,0.6566870351863366
90,0.3623731938823507
91,0.6854849182156166
92,0.46386392386974706
93,0.6919956643691376
94,0.41628036980983524
95,0.29214990133567365
96,0.655308050785485
97,0.691098809078093
98,0.8171780141206176
99,0.693933764852784
100,0.7728284818132245
101,0.8220848255415456
102,0.5214185176447592
103,0.652239328495203
104,0.3619492722159497
105,0.3059068075309916
106,0.6910766012995609
107,0.7483374025408779
108,0.3980535774530262
109,0.3381975866547975
110,0.3527688313655501
111,0.19878319911580986
112,0.19532083969396447
113,0.4575836101574102
114,0.7529727477008421
115,0.6520966025220679
116,0.7338078812437863
117,0.3899851555561807
118,0.3286888841344586
119,-0.11409841317326425
120,0.5045129541785969
121,0.07905340690908515
122,0.4564506949821211
123,0.5766509673431796
124,0.5158010433454044
125,0.518773575509611
126,0.7208445521724951
127,0.6680676361800634
128,-0.20230959306338692
129,-0.3311997846898245
130,0.7731858343928373
131,0.5182259795448134
132,0.6276139225613173
133,0.5752205169333324
134,0.7740010642690089
135,0.7527965410408315
136,0.5593268644742122
137,0.4578258370394781
