,cc,folder,scan_number
0,0.5035572131409154,run0,0
1,0.4694361487826515,run0,1
2,0.7281114437293923,run1,2
3,0.5564477652049252,run1,3
4,0.4595612396980021,run1,4
5,0.5733981378999281,run1,5
6,0.5558066275533332,run10,24
7,0.44527414296732826,run10,25
8,0.6336261317743999,run11,26
9,0.6896640575498427,run11,27
10,0.5626290181977054,run12,28
11,0.6240853895772578,run12,29
12,0.09934072416221007,run13,30
13,0.010097874382662105,run13,31
14,0.5170138782617196,run14,32
15,0.5394647572457469,run14,33
16,0.5063249996942094,run15,34
17,0.30364173237789716,run15,35
18,-0.10086872042101712,run16,36
19,0.33811820311418056,run16,37
20,0.6209044411206356,run17,38
21,0.5402147336681921,run17,39
22,0.150897756274238,run18,40
23,0.3532496068345773,run18,41
24,0.2946518314774593,run19,42
25,0.30728359473534445,run19,43
26,0.23965451651948375,run2,6
27,-0.14336116341519028,run2,7
28,0.42954121937679207,run2,8
29,0.4596052832251045,run2,9
30,0.2305024409847626,run20,44
31,0.27076253972316766,run20,45
32,0.3593902699004777,run21,46
33,0.4867791165807065,run21,47
34,0.15136661568070175,run22,48
35,0.2966258595374445,run22,49
36,0.6440026885321334,run23,50
37,0.6022380567963074,run23,51
38,0.7101086194907893,run23,52
39,0.6055942219037472,run23,53
40,0.5209095724502856,run24,54
41,0.6153184415924843,run24,55
42,0.5995246047483999,run25,56
43,0.1660600473753033,run25,57
44,0.26732469540880943,run25,58
45,0.761312164923138,run25,59
46,0.46901081331903255,run26,60
47,0.395671032408753,run26,61
48,0.3800752265754825,run26,62
49,0.31388709260591596,run26,63
50,0.6269293405917284,run27,64
51,0.46628628875857786,run27,65
52,0.6015806544436271,run27,66
53,0.6033265495167207,run27,67
54,0.2728477370566292,run28,68
55,0.5740663167444391,run28,69
56,0.5277844477910302,run29,70
57,0.36679596504946016,run29,71
58,0.07557662466750568,run3,10
59,0.409597103857797,run3,11
60,0.5579976913679903,run30,72
61,0.4980171396527247,run30,73
62,0.5401560048471599,run31,74
63,0.6908956366248895,run31,75
64,0.5927441472003289,run32,76
65,0.49250832980142445,run32,77
66,0.10466416681240155,run33,78
67,0.4456270885047246,run33,79
68,0.5923494777796026,run33,80
69,0.2199046890596542,run33,81
70,0.8167233626189252,run34,82
71,0.7121050180637146,run34,83
72,0.5701053764901259,run35,84
73,0.5408975188696096,run35,85
74,0.40074144421905755,run36,86
75,0.5267977402541473,run36,87
76,0.5829254754580628,run36,88
77,0.6675616743381413,run36,89
78,0.32655123081979154,run37,90
79,0.633713103796793,run37,91
80,0.4042809577298996,run37,92
81,0.6214296229905801,run37,93
82,0.27127750701401193,run38,94
83,0.32569489673950697,run38,95
84,0.6837735905214221,run39,96
85,0.6400627985646477,run39,97
86,0.18128066759426478,run4,12
87,0.6060260670703826,run4,13
88,0.790941748286446,run40,98
89,0.7186214065491949,run40,99
90,0.705748055366983,run40,100
91,0.7526172883680089,run40,101
92,0.5197674338953957,run41,102
93,0.6459617631271483,run41,103
94,0.3736732902279023,run42,104
95,0.307742252764941,run42,105
96,0.6094134328463964,run43,106
97,0.6538386078452849,run43,107
98,0.4338356649721685,run44,108
99,0.3530498968068152,run44,109
100,0.3646450960733376,run45,110
101,0.26446727836251643,run45,111
102,0.19519899826860715,run46,112
103,0.4680568238923094,run46,113
104,0.7182663881362565,run47,114
105,0.663382449064979,run47,115
106,0.7258522314902383,run47,116
107,0.4039140933478603,run47,117
108,0.41677588173440105,run48,118
109,-0.08910887482909793,run48,119
110,0.5019313128283842,run49,120
111,0.13082666019720235,run49,121
112,0.27370749902748776,run5,14
113,0.4623028413769094,run5,15
114,0.4920436617266623,run50,122
115,0.5036703127389809,run50,123
116,0.4138591788627402,run50,124
117,0.44419863487682965,run50,125
118,0.7182629462828515,run51,126
119,0.6779525365029988,run51,127
120,-0.2782283206176048,run52,128
121,-0.33825139846562197,run52,129
122,0.7848481093871278,run53,130
123,0.5626071497365789,run53,131
124,0.6424956291666157,run54,132
125,0.6210485933697567,run54,133
126,0.7758862898607329,run55,134
127,0.6948916947593615,run55,135
128,0.548340533785322,run56,136
129,0.46547346330018896,run56,137
130,0.22861117970249628,run6,16
131,0.3647661658439253,run6,17
132,0.5280096653786615,run7,18
133,0.7398605623791347,run7,19
134,0.7030166112962449,run8,20
135,0.5253759527678572,run8,21
136,0.3287620236023719,run9,22
137,0.6652291021170901,run9,23
