scan_number,cc
0,0.5035572131409154
1,0.4694361487826515
2,0.7281114437293923
3,0.5564477652049252
4,0.4595612396980021
5,0.5733981378999281
6,0.23965451651948375
7,-0.14336116341519028
8,0.42954121937679207
9,0.4596052832251045
10,0.07557662466750568
11,0.409597103857797
12,0.18128066759426478
13,0.6060260670703826
14,0.27370749902748776
15,0.4623028413769094
16,0.22861117970249628
17,0.3647661658439253
18,0.5280096653786615
19,0.7398605623791347
20,0.7030166112962449
21,0.5253759527678572
22,0.3287620236023719
23,0.6652291021170901
24,0.5558066275533332
25,0.44527414296732826
26,0.6336261317743999
27,0.6896640575498427
28,0.5626290181977054
29,0.6240853895772578
30,0.09934072416221007
31,0.010097874382662105
32,0.5170138782617196
33,0.5394647572457469
34,0.5063249996942094
35,0.30364173237789716
36,-0.10086872042101712
37,0.33811820311418056
38,0.6209044411206356
39,0.5402147336681921
40,0.150897756274238
41,0.3532496068345773
42,0.2946518314774593
43,0.30728359473534445
44,0.2305024409847626
45,0.27076253972316766
46,0.3593902699004777
47,0.4867791165807065
48,0.15136661568070175
49,0.2966258595374445
50,0.6440026885321334
51,0.6022380567963074
52,0.7101086194907893
53,0.6055942219037472
54,0.5209095724502856
55,0.6153184415924843
56,0.5995246047483999
57,0.1660600473753033
58,0.26732469540880943
59,0.761312164923138
60,0.46901081331903255
61,0.395671032408753
62,0.3800752265754825
63,0.31388709260591596
64,0.6269293405917284
65,0.46628628875857786
66,0.6015806544436271
67,0.6033265495167207
68,0.2728477370566292
69,0.5740663167444391
70,0.5277844477910302
71,0.36679596504946016
72,0.5579976913679903
73,0.4980171396527247
74,0.5401560048471599
75,0.6908956366248895
76,0.5927441472003289
77,0.49250832980142445
78,0.10466416681240155
79,0.4456270885047246
80,0.5923494777796026
81,0.2199046890596542
82,0.8167233626189252
83,0.7121050180637146
84,0.5701053764901259
85,0.5408975188696096
86,0.40074144421905755
87,0.5267977402541473
88,0.5829254754580628
89,0.6675616743381413
90,0.32655123081979154
91,0.633713103796793
92,0.4042809577298996
93,0.6214296229905801
94,0.27127750701401193
95,0.32569489673950697
96,0.6837735905214221
97,0.6400627985646477
98,0.790941748286446
99,0.7186214065491949
100,0.705748055366983
101,0.7526172883680089
102,0.5197674338953957
103,0.6459617631271483
104,0.3736732902279023
105,0.307742252764941
106,0.6094134328463964
107,0.6538386078452849
108,0.4338356649721685
109,0.3530498968068152
110,0.3646450960733376
111,0.26446727836251643
112,0.19519899826860715
113,0.4680568238923094
114,0.7182663881362565
115,0.663382449064979
116,0.7258522314902383
117,0.4039140933478603
118,0.41677588173440105
119,-0.08910887482909793
120,0.5019313128283842
121,0.13082666019720235
122,0.4920436617266623
123,0.5036703127389809
124,0.4138591788627402
125,0.44419863487682965
126,0.7182629462828515
127,0.6779525365029988
128,-0.2782283206176048
129,-0.33825139846562197
130,0.7848481093871278
131,0.5626071497365789
132,0.6424956291666157
133,0.6210485933697567
134,0.7758862898607329
135,0.6948916947593615
136,0.548340533785322
137,0.46547346330018896
