,Atlas,Labels,SWI_Density,ToF_Density,RV,HR,Corr
293,Schaefer,RH_SalVentAttnA_FrOper_2,0.05714736493081337,0.04822795609054442,0.384062478750628,0.299526285402483,0.3417943820765555
284,Schaefer,RH_SalVentAttnA_ParOper_1,0.058831796372142926,0.030997398220840036,0.379033931572322,0.301479796510371,0.3402568640413465
88,Schaefer,LH_SalVentAttnA_Ins_1,0.03047512673042916,0.007200445956598944,0.401916996992157,0.278215366362291,0.340066181677224
225,Schaefer,RH_SomMotA_3,0.04481967726451719,0.03481342376042635,0.351534802435625,0.326078649929952,0.3388067261827885
43,Schaefer,LH_SomMotB_Aud_1,0.09320557088952283,0.08063712993598714,0.390885463177963,0.286137540189216,0.3385115016835895
54,Schaefer,LH_SomMotB_Cent_1,0.016482143831334423,0.003912428057031013,0.339985593779273,0.334789252655854,0.33738742321756354
217,Schaefer,RH_VisPeri_StriCal_1,0.07328668851907204,0.014726913697934944,0.351778346282065,0.314565064141633,0.333171705211849
285,Schaefer,RH_SalVentAttnA_ParOper_2,0.04102358920652358,0.034626148079262405,0.371122123017272,0.29194684379368,0.331534483405476
98,Schaefer,LH_SalVentAttnA_FrMed_2,0.052919822363255854,0.03311468999317359,0.362048232083776,0.30069552284054,0.331371877462158
201,Schaefer,RH_VisCent_ExStr_2,0.06539870831401237,0.008656640648069777,0.350436725906155,0.311828820926924,0.33113277341653946
18,Schaefer,LH_VisPeri_StriCal_2,0.0972421450909706,0.016844677688119716,0.351387284034439,0.30914185448822,0.3302645692613295
251,Schaefer,RH_SomMotB_S2_5,0.06924782302621361,0.025925293200082713,0.363651693325623,0.296515469665506,0.3300835814955645
245,Schaefer,RH_SomMotB_Ins_1,0.05981046810841105,0.043187818424716876,0.390804614591578,0.269137845382936,0.32997122998725703
295,Schaefer,RH_SalVentAttnA_FrMed_1,0.0383434711318267,0.025283249602301442,0.36826116723611,0.290706864392084,0.32948401581409703
47,Schaefer,LH_SomMotB_S2_2,0.0833805980117515,0.03913783191075159,0.373394737982362,0.284760987790516,0.32907786288643903
144,Schaefer,LH_ContC_pCun_2,0.045821375460090005,0.06061692755011951,0.344416196938284,0.313324588318013,0.32887039262814854
92,Schaefer,LH_SalVentAttnA_FrOper_1,0.05782088464751667,0.03107637132456864,0.368870031256014,0.283654319909935,0.3262621755829745
48,Schaefer,LH_SomMotB_Aud_3,0.03630547643196387,0.021671330684521158,0.362997916382071,0.288253349495217,0.325625632938644
17,Schaefer,LH_VisPeri_StriCal_1,0.06217464815369613,0.009416856371956191,0.34604554807227,0.304821856931693,0.3254337025019815
4,Schaefer,LH_VisCent_ExStr_5,0.04988286985179125,0.030039960227331422,0.351491277322451,0.298668309009601,0.325079793166026
94,Schaefer,LH_SalVentAttnA_ParMed_1,0.03909482970995163,0.019195209206872038,0.358288238858855,0.29152656412966,0.3249074014942575
49,Schaefer,LH_SomMotB_Aud_4,0.03532380016126069,0.020185028721252687,0.370603320208967,0.276988047996783,0.323795684102875
259,Schaefer,RH_DorsAttnA_TempOcc_2,0.03767598502156211,0.019135434473271616,0.354570092425358,0.292248136923615,0.3234091146744865
247,Schaefer,RH_SomMotB_S2_2,0.07762663868757394,0.026969980305204026,0.37184854596884,0.269317450041039,0.3205829980049395
31,Schaefer,LH_SomMotA_8,0.051245925578184505,0.03020163649686407,0.343340849143226,0.29688120430584,0.32011102672453295
351,Schaefer,RH_ContC_pCun_2,0.04878048586864441,0.011065222084903108,0.33090416734256,0.308964344025737,0.3199342556841485
354,Schaefer,RH_ContC_pCun_5,0.047310152084480785,0.0619269997040008,0.336572491779481,0.302652167370398,0.3196123295749395
45,Schaefer,LH_SomMotB_Ins_1,0.035535453121788456,0.03117428443684483,0.372458729844096,0.266489976914072,0.31947435337908403
253,Schaefer,RH_SomMotB_S2_7,0.047408534586429595,0.03277438874356449,0.3591748911989,0.279547074834835,0.3193609830168675
218,Schaefer,RH_VisPeri_StriCal_2,0.10750349169703806,0.042100355385025594,0.342362674401696,0.295944756273043,0.31915371533736947
20,Schaefer,LH_VisPeri_ExStrSup_2,0.06888807367142569,0.03702929823378169,0.326139793762017,0.312061929429264,0.3191008615956405
53,Schaefer,LH_SomMotB_S2_6,0.034418718501698545,0.005076141942878665,0.353541469449,0.284462640321556,0.319002054885278
356,Schaefer,RH_ContC_Cingp_2,0.025225525237109563,0.009188105237402329,0.354234425206995,0.283052654267111,0.318643539737053
24,Schaefer,LH_SomMotA_1,0.04586592876592522,0.028762078978730447,0.345349206141675,0.290881096401921,0.318115151271798
249,Schaefer,RH_SomMotB_S2_3,0.0900727395425763,0.03465981886052249,0.35255930236487,0.282334803983934,0.317447053174402
3,Schaefer,LH_VisCent_ExStr_4,0.05685975374653936,0.005564024159684777,0.330288705654045,0.304568525141305,0.317428615397675
85,Schaefer,LH_SalVentAttnA_ParOper_1,0.03701869381336391,0.009223721316320642,0.35863489782206,0.275606192754931,0.3171205452884955
397,Schaefer,RH_TempPar_8,0.028988403436101852,0.04718112573027611,0.356969436821658,0.275997852792642,0.31648364480714997
40,Schaefer,LH_SomMotA_17,0.03243195354614569,0.026511133580968,0.30971121068851,0.323100442179073,0.3164058264337915
19,Schaefer,LH_VisPeri_ExStrSup_1,0.09686694076148475,0.026075747560679426,0.345876539877697,0.28692370879907,0.3164001243383835
78,Schaefer,LH_DorsAttnB_PostC_7,0.036712839446624394,0.03892240865409167,0.325078603736752,0.306619690121432,0.315849146929092
0,Schaefer,LH_VisCent_ExStr_1,0.06772436394467708,0.003315178659355756,0.345396862463798,0.284593153893896,0.314995008178847
301,Schaefer,RH_SalVentAttnA_FrMed_3,0.024310795875442145,0.048224356668585676,0.340782075660378,0.288446564286151,0.3146143199732645
96,Schaefer,LH_SalVentAttnA_ParMed_3,0.06541879122802453,0.02826621178393216,0.328051134076787,0.30101812305331,0.3145346285650485
46,Schaefer,LH_SomMotB_S2_1,0.05620360289048772,0.017834762840167336,0.355330363093623,0.273644676719922,0.3144875199067725
86,Schaefer,LH_SalVentAttnA_ParOper_2,0.04660278564052922,0.011062717331307275,0.357695493517378,0.270429048105553,0.31406227081146554
290,Schaefer,RH_SalVentAttnA_Ins_3,0.04878048598766327,0.03382861274526494,0.379603668541092,0.246910105776951,0.3132568871590215
297,Schaefer,RH_SalVentAttnA_ParMed_2,0.03146819568732206,0.017312290154251397,0.348628217732905,0.27753961810906,0.3130839179209825
237,Schaefer,RH_SomMotA_15,0.05514315828896951,0.04153410944601764,0.311988115962995,0.314092411961073,0.313040263962034
21,Schaefer,LH_VisPeri_ExStrSup_3,0.060056797037385916,0.019963246808476644,0.33334185247763,0.292594588083895,0.3129682202807625
204,Schaefer,RH_VisCent_ExStr_5,0.05921988957470957,0.07203188437084279,0.333503117680509,0.290993134069778,0.3122481258751435
348,Schaefer,RH_ContB_PFClv_4,0.028165570064084832,0.017681568205555723,0.328685026559476,0.295707721765363,0.3121963741624195
142,Schaefer,LH_ContB_PFCmp_1,0.05461060977949385,0.02743902338439958,0.382457263266621,0.241649926628283,0.312053594947452
95,Schaefer,LH_SalVentAttnA_ParMed_2,0.06275851989698689,0.013835400996500985,0.35043967018404,0.272527323799386,0.31148349699171296
147,Schaefer,LH_ContC_Cingp_2,0.07395121675729752,0.06536585170030594,0.350398417083572,0.272020581243207,0.31120949916338947
260,Schaefer,RH_DorsAttnA_TempOcc_3,0.03685917544447285,0.02097813626799559,0.325872051309736,0.295929021939632,0.310900536624684
243,Schaefer,RH_SomMotB_Aud_1,0.0716020619164364,0.06917315781796622,0.369895711500565,0.251643247883668,0.3107694796921165
289,Schaefer,RH_SalVentAttnA_Ins_2,0.06825486585035805,0.04140669182520504,0.366721758947404,0.253361591029625,0.31004167498851454
57,Schaefer,LH_SomMotB_Cent_4,0.009772249701007313,0.004522694065081363,0.31318167159339,0.306301321492079,0.30974149654273453
221,Schaefer,RH_VisPeri_ExStrSup_3,0.06565552791293595,0.017763202138641635,0.318297832095793,0.301027141071814,0.30966248658380346
205,Schaefer,RH_VisCent_ExStr_6,0.050180882625460055,0.08227330758169507,0.331147384212645,0.287583421866861,0.309365403039753
261,Schaefer,RH_DorsAttnA_ParOcc_1,0.04120975449085235,0.013970731031894683,0.314943261628912,0.303776482555347,0.3093598720921295
81,Schaefer,LH_DorsAttnB_FEF_1,0.014681505491432635,0.007419685546827162,0.346050141490374,0.272168474385303,0.30910930793783853
52,Schaefer,LH_SomMotB_S2_5,0.0856003722963998,0.04209662124944421,0.343983841418873,0.272467845391314,0.3082258434050935
33,Schaefer,LH_SomMotA_10,0.03843311014387644,0.022357722829011353,0.313325477159399,0.302873929724758,0.3080997034420785
